year,author,journal,mass_g,se_mass_g,temperature_c,swimspeed_cm_per_s,se_swimspeed_cm_per_s,swimspeed_bodylengths_per_second,se_swimSpeed_bodylengths_per_second,mr_mgo2_per_h,se_mr_mgo2_per_h,ln_mr_mgo2_per_h,ln_mass_g,species,race,life_stage,author_notes,acclimation_temperature_c,indiv_or_mean,n,fork_length_cm,data_quality,age_dph,exogenous_or_endogenous,wetmass_or_dry,salinity_ppt,salinity_factor,smolt_factor
1991,Rombough,Physiol. Zool.,0.875215783,NA,12,0,NA,0,NA,0.19104602,NA,-1.655240937,-0.133284814,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.781257707,NA,12,0,NA,0,NA,0.17067998,NA,-1.767964938,-0.246850214,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.740567201,NA,12,0,NA,0,NA,0.169530084,NA,-1.774724882,-0.300338899,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.710234279,NA,12,0,NA,0,NA,0.178638499,NA,-1.722391076,-0.342160393,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.662145499,NA,12,0,NA,0,NA,0.15283276,NA,-1.878411027,-0.41226996,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.675462392,NA,12,0,NA,0,NA,0.191867882,NA,-1.650948261,-0.392357797,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.720591862,NA,12,0,NA,0,NA,0.213156678,NA,-1.545727807,-0.327682374,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.767940814,NA,12,0,NA,0,NA,0.229917885,NA,-1.470033056,-0.264042614,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.695437731,NA,12,0,NA,0,NA,0.296678788,NA,-1.215105249,-0.363213803,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.487546239,NA,12,0,NA,0,NA,0.12564238,NA,-2.074315659,-0.718370143,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
1991,Rombough,Physiol. Zool.,0.492725031,NA,12,0,NA,0,NA,0.129743575,NA,-2.042195275,-0.707804007,Oncorhynchus tshawytscha,fall run,juvenile,NA,NA,individual,1,NA,1,NA,exogenous,wet,0,fresh,pre-smolt
