year,parameter,parameter methods,author,journal,n,swimspeed_cm_persecond,sd_swimspeed_cm_persecond,se_swimspeed_cm_persecond,swimspeed_BL,sd_swimspeed_BL,se_swimspeed_BL,temperature_C,species,common,race,life stage,mass_g,sd_mass_g,se_mass_g,SL_cm,sd_SL,se_SL,TL_cm,sd_TL,se_TL,ration,FL_cm,sd_FL_cm,se_FL_cm,FL_mm,hatchery_or_wild,data_quality,source
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,53.164041,,NA,6.5917821,NA,NA,15.03333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.0652,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,47.617458,,NA,5.9040641,NA,NA,19.93333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.0652,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,53.453486,,NA,6.5437757,NA,NA,14.8,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.1686,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,52.049733,,NA,6.7117644,NA,NA,14.7,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.755,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,36.86546,,NA,4.7537667,NA,NA,21.23333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.755,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,51.817152,,NA,6.7720676,NA,NA,14.63333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.6516,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,60.299606,,NA,7.4765171,NA,NA,14.66667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.0652,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,54.388452,,NA,7.01334,NA,NA,13.73333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.755,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,28.716524,,NA,3.7029689,NA,NA,19.66667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,7.755,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,46.790798,,NA,5.6565278,NA,NA,12.4,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.272,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,60.260233,,NA,7.2848444,NA,NA,16.2,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.272,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,54.385545,,NA,6.3370167,NA,NA,13.86667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.5822,NA,NA,NA,NA,NA,NA,NA,hatchery,3,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,21.463404,,NA,2.500921,NA,NA,20.1,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.5822,NA,NA,NA,NA,NA,NA,NA,hatchery,3,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,58.831268,,NA,7.1120972,NA,NA,14,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.272,NA,NA,NA,NA,NA,NA,NA,hatchery,3,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,25.192744,,NA,3.0455444,NA,NA,20.56667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.272,NA,NA,NA,NA,NA,NA,NA,hatchery,3,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,59.007083,,NA,6.9593672,NA,NA,14.26667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.4788,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,60.673466,,NA,7.1559024,NA,NA,20.66667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.4788,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,57.528107,,NA,6.6233889,NA,NA,13.1,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.6856,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,47.49617,,NA,5.468381,NA,NA,20.33333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.6856,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,56.293131,,NA,6.9797564,NA,NA,13.36667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.0652,NA,NA,NA,NA,NA,NA,NA,hatchery,3,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,3.248345,,NA,0.4027607,NA,NA,20.3,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.0652,NA,NA,NA,NA,NA,NA,NA,hatchery,3,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,52.83169,,NA,6.2310339,NA,NA,13.66667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.4788,NA,NA,NA,NA,NA,NA,NA,hatchery,3,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,6.045178,,NA,0.7129756,NA,NA,19.96667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.4788,NA,NA,NA,NA,NA,NA,NA,hatchery,3,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,63.50959,,NA,7.6776583,NA,NA,13.8,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.272,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,28.505657,,NA,3.4460417,NA,NA,20.33333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.272,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,59.697094,,NA,6.8731111,NA,NA,14,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.6856,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,56.925009,,NA,6.5539524,NA,NA,20.36667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.6856,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,50.432144,,NA,6.2530556,NA,NA,14.03333,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.0652,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,34.758806,,NA,4.3097265,NA,NA,17.86667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.0652,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,66.98669,,NA,7.9980288,NA,NA,14.46667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.3754,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,63.608647,,NA,7.5946996,NA,NA,18.1,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,8.3754,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,63.649817,,NA,6.217867,NA,NA,12.6,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,10.2366,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,45.657459,,NA,4.4602172,NA,NA,14.5,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,10.2366,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
2017,Ucrit,see README,Lehman et al.,Trans. Amer. Fish. Soc.,1,57.221261,,NA,6.2886035,NA,NA,14.56667,Oncorhyncus tshawytscha,Chinook,NA,juvenile,NA,NA,NA,NA,NA,NA,9.0992,NA,NA,NA,NA,NA,NA,NA,hatchery,1,Lehman et al. 2017
