BASS,SASQ,Shade,EmergVegDensity,EmergWMDensity,Depth5,Depth10,Depth15,Substrate5,Substrate10,Substrate15,Vel5,Vel10,Vel15
0,0,A,A,A,1.7,3.8,5.4,M,M,M,0.83,0.5,0.87
0,0,A,A,S,2.2,4.3,5.4,M,M,M,0.6,0.69,0.93
0,0,A,A,A,1.7,4.4,5.5,M,M/G,M/G,0.67,0.76,0.98
0,0,A,A,A,1.7,1.7,5.4,M,M,M,0.59,0.69,0.72
0,0,A,A,A,1.7,4.1,5.1,M,M,M,0.37,0.56,0.69
0,0,A,A,A,1.6,4.3,5.9,M,M,M,0.3,0.51,0.54
0,0,A,A,M,2.4,5.5,8,M/G,M/G,M,0.3,0.5,0.87
0,0,A,A,M,3.5,5.1,7.7,M,M,M,0.05,0.22,0.51
0,0,A,A,S,3.2,5.1,6.4,M,M,M,0.11,0.08,0.08
0,0,A,A,S,2.8,5,6.4,M/G,M,M/G,0.51,1.01,0.96
0,0,A,A,A,2.1,4.9,5.6,M,M,M,0.34,0.69,1.05
0,0,A,A,A,2,4.1,5.5,M,M,M,0.12,0.71,0.83
0,0,A,A,A,2.2,4.7,6.1,M,M/G,M/G,0.01,0.86,0.95
0,0,A,A,A,2.9,4.7,5.7,M/R,M,M,0.41,0.55,0.77
0,0,A,A,A,2.3,3.9,4.9,R,M,M,0.54,0.68,0.67
0,0,A,A,A,2.1,3.4,4.2,M/R,M,M,0.32,0.38,0.58
0,0,A,A,A,1.2,2.5,4,M,M,M,0.09,0.47,0.41
0,0,A,A,A,1.7,3,4.1,M,M,M,0.3,0.45,0.54
0,0,A,A,A,2,3,4.1,M,M,M,0.32,0.44,0.49
1,0,A,A,A,2.5,3.4,4.6,M,M,M,0.33,0.55,0.59
0,0,A,A,A,1.6,3.3,4.5,M,M,M,0.29,0.4,0.61
0,0,A,A,A,2.3,3.5,4.2,M/R,M,M,0.57,0.55,0.52
0,0,A,A,A,1.7,3.8,4.3,M/R,M,M/R,0.42,0.46,0.53
0,0,A,A,A,2.1,3.6,4.2,M,M,M,0.36,0.62,0.61
0,0,A,A,A,1.8,3.4,4.3,M,M,M,0.36,0.57,0.58
0,0,A,A,A,2.8,3.4,4.1,M,M,M,0.38,0.49,0.64
0,0,A,A,A,1.9,2.2,4.5,M/R,M,M/R,0.31,0.45,0.68
0,0,A,A,A,2.5,3.3,5.1,M/R,M/R,M/R,0.48,0.68,0.71
0,0,A,A,A,2.1,3.3,5.1,M,M,M,0.39,0.66,0.55
2,0,A,A,A,1.6,3.4,5.2,M,M,M,0.46,0.49,0.58
0,0,A,A,A,1.3,2.9,4.3,M/R,M/R,M,0.09,0.5,0.48
0,0,A,A,A,1,3.6,4.9,R,R,M/R,0.3,0.49,0.67
0,0,A,A,A,1.3,2.4,5.8,M,R,M/R,0.31,0.31,0.63
0,0,A,A,A,2.1,2.3,5.8,M/R,R,R,0.48,0.58,0.34
0,0,P,A,A,0.9,3.6,2.1,R,R,R,0.38,0.25,0.56
0,0,A,A,A,2.7,5.4,6.1,M/R,R,R,0.39,0.24,0.68
0,0,A,A,S,1.7,3.4,6.1,M,R,R,0.06,0.01,0.17
0,0,A,A,A,1.8,3.5,6.7,M,M/R,M/R,0.06,0.11,0.46
1,0,A,A,A,0.9,3.4,7.8,M,R,R,0.17,0.49,1.02
0,0,A,A,A,1.9,6,7.9,R,R,M/R,0.03,0.54,0.73
0,0,A,A,A,5.1,7.3,8.8,R,R,M,0.72,0.81,1
1,0,P,A,A,3.8,7.1,8.6,R,R,R,0.63,0.58,0.9
0,0,P,A,A,3,6.1,8.2,R,M/R,M/R,0.17,0.69,0.57
