target_temp_type,author,year,journal,endpoint,target_temp_degrees_C,se_target_temp_degrees_c,daily_survival_percent,daily_survival_prob,accumulated_degree_hours_above_acc_temp,swimspeed_bodylengths_per_second,n,mass_g,se_mass_g,standard_length_cm,se_standard_length_cm,acclimation_temp_C,temp_increase_rate_degreesC_per_hour,species,run,life_stage,wild_or_hatchery,ration_percent_of_satiation,salinity (g/liter),river_of_origin,data_quality,fork_length_cm,se_fork_length_cm,hours spent increasing temp,total_duration_hours,degree_hours_per_hour,median_resistance_time_minutes,total_duration_days,hours_spent_at_max_temp,ration_percent_body_weight,whole_duration_survival_prob,days_spent_at_max_temperature,inverse_of_days_at_max_temperature,rounded_temp,fork_length_mm,year_caught,minutes_spent_at_max_temp,subspecies,population_location,endogenous_or_exogenous,total_length_cm,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,25.97687861,NA,41.91721045,0.419172105,171.7535052,NA,10,NA,NA,NA,NA,17,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.797203166,8.976878613,1147.972559,0.797203166,19.13287598,NA,0.5,0.797203166,1.254385385,26,NA,NA,1147.972559,rainbow trout,Wyoming/Montana/PNW,exogenous,5,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,26.01142482,NA,3.948271811,0.039482718,87.56297812,NA,10,NA,NA,NA,NA,9,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.214471008,17.01142482,308.8382509,0.214471008,5.147304182,NA,0.5,0.214471008,4.662634877,26,NA,NA,308.8382509,rainbow trout,Wyoming/Montana/PNW,exogenous,11.8,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,26.01369189,NA,12.74206171,0.127420617,105.0787335,NA,10,NA,NA,NA,NA,13,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.33643647,13.01369189,484.4685172,0.33643647,8.074475286,NA,0.5,0.33643647,2.972329365,26,NA,NA,484.4685172,rainbow trout,Wyoming/Montana/PNW,exogenous,12.8,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,26.03325394,NA,52.8969844,0.528969844,131.481976,NA,10,NA,NA,NA,NA,21,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,1.088444121,5.033253945,1567.359534,1.088444121,26.12265891,NA,0.5,1.088444121,0.918742617,26,NA,NA,1567.359534,rainbow trout,Wyoming/Montana/PNW,exogenous,11.9,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,26.03496055,NA,38.52378517,0.385237852,157.566066,NA,10,NA,NA,NA,NA,17,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.726649852,9.03496055,1046.375787,0.726649852,17.43959646,NA,0.5,0.726649852,1.376178632,26,NA,NA,1046.375787,rainbow trout,Wyoming/Montana/PNW,exogenous,11.7,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,26.04334623,NA,0.0011282,1.1282E-05,24.88743068,NA,10,NA,NA,NA,NA,9,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.060843467,17.04334623,87.61459284,0.060843467,1.460243214,NA,0.5,0.060843467,16.43561824,26,NA,NA,87.61459284,rainbow trout,Wyoming/Montana/PNW,exogenous,12,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,26.04441798,NA,0.059260666,0.000592607,29.20218413,NA,10,NA,NA,NA,NA,13,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.093278035,13.04441798,134.3203699,0.093278035,2.238672831,NA,0.5,0.093278035,10.72063754,26,NA,NA,134.3203699,rainbow trout,Wyoming/Montana/PNW,exogenous,12.8,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,26.04831795,NA,20.81245839,0.208124584,95.89820315,NA,10,NA,NA,NA,NA,17,NA,Oncorhyncus mykiss,NA,juvenile,NA,NA,NA,NA,1,NA,NA,NA,0.441602349,9.048317952,635.907383,0.441602349,10.59845638,NA,0.5,0.441602349,2.264480707,26,NA,NA,635.907383,rainbow trout,Wyoming/Montana/PNW,exogenous,11.1,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,26.5200531,NA,25.12676328,0.251267633,66.48319266,NA,10,NA,NA,NA,NA,21,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,0.501830866,5.520053097,722.6364474,0.501830866,12.04394079,NA,0.5,0.501830866,1.992703254,26.5,NA,NA,722.6364474,rainbow trout,Wyoming/Montana/PNW,exogenous,11,
UILT,Kaya,1978,The Progressive Fish-Culturist,cessation of opercular movement,26.52780885,NA,74.37658079,0.743765808,142.0517456,NA,10,NA,NA,NA,NA,24,NA,Oncorhyncus mykiss,NA,juvenile,wild,NA,NA,Wyoming/Montana/PNW,1,NA,NA,NA,2.341483508,2.527808851,3371.736251,2.341483508,56.19560418,NA,0.5,2.341483508,0.427079668,26.5,NA,NA,3371.736251,rainbow trout,Wyoming/Montana/PNW,exogenous,11.1,
