SiteName,Type,Category,Date,Event,Species,FL_mm,TL_mm,SI,Race,Mort,Turb,Comments
DSVeronaRR,Various,NA,3/23/15,1,SASQ,108,116,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,73,79,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,112,120,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,104,112,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,103,112,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASQ,89,97,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,CHN,59,63,3,F,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,CHN,60,64,3,F,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,RES,146,152,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,RES,56,58,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SMB,84,87,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SMB,87,89,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SMB,92,94,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SMB,105,108,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SMB,84,87,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SMB,408,432,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SMB,195,209,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SMB,305,320,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,GSF,97,100,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,TFS,75,85,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,TFS,92,117,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,TFS,85,96,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,TFS,120,137,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,TFS,96,112,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,MSS,76,82,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,MSS,95,103,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,MSS,78,84,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,MSS,85,91,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,MSS,68,72,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,MSS,90,97,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,MSS,72,78,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,MSS,76,81,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,MSS,76,82,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,MSS,85,92,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASU,67,72,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASU,98,104,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASU,57,60,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,SASU,72,76,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,CHN,74,78,5,S,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,MSS,72,76,NA,NA,N,13.2,NA
DSVeronaRR,Various,NA,3/23/15,1,STB,475,509,NA,NA,N,13.2,NA
USVeronaRR,Various,NA,3/24/15,1,RES,200,204,NA,NA,N,12.72,NA
USVeronaRR,Various,NA,3/24/15,1,RES,160,163,NA,NA,N,12.72,NA
USVeronaRR,Various,NA,3/24/15,1,RBT,263,275,5,NA,N,12.72,Hatchery
USVeronaRR,Various,NA,3/24/15,1,BGS,130,135,NA,NA,N,12.72,NA
USVeronaRR,Various,NA,3/24/15,1,CHN,66,72,5,F,N,12.72,NA
