SiteName,Type,Category,Date,Event,Species,FL_mm,TL_mm,SI,Race,Mort,Effort,Turb,Comments
50.3R,Naturalized,Naturalized,1/15/2014,1,MSS,70,76,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,MSS,72,78,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,MSS,73,78,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,MSS,74,81,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,MSS,74,79,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,MSS,76,82,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,MSS,79,86,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,MSS,80,86,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,MSS,NA,NA,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,SASU,450,470,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,SMB,86,90,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,SMB,278,295,NA,NA,N,186,3.3,NA
50.3R,Naturalized,Naturalized,1/15/2014,1,SPTB,345,365,NA,NA,N,186,3.3,NA
50.2L,NoBench,Mitigated,1/15/2014,1,BGS,61,65,NA,NA,N,215,3.3,NA
50.2L,NoBench,Mitigated,1/15/2014,1,PRS,108,108,NA,NA,N,215,3.3,NA
50.2L,NoBench,Mitigated,1/15/2014,1,TP,83,89,NA,NA,N,215,3.3,NA
50.2L,NoBench,Mitigated,1/15/2014,1,TP,85,91,NA,NA,N,215,3.3,NA
50.2L,NoBench,Mitigated,1/15/2014,1,TP,91,97,NA,NA,N,215,3.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,BGS,51,54,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,BGS,58,62,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,GSN,78,86,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,LMB,75,78,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,LMB,75,80,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,LMB,85,90,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,LMB,90,97,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,PRS,87,87,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,PRS,93,93,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,SMB,54,59,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,SMB,66,70,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,SMB,68,72,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,SMB,70,74,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,SMB,70,75,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,SMB,74,77,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,SMB,80,85,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,SMB,96,103,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,TP,72,77,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,TP,78,82,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,TP,79,84,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,TP,80,85,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,TP,81,87,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,TP,82,87,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,TP,82,87,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,TP,83,89,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,TP,84,89,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,TP,85,91,NA,NA,N,314,2.3,NA
47.9R,Slope,Mitigated,1/15/2014,1,TP,91,96,NA,NA,N,314,2.3,NA
47.0L,Slope,Mitigated,1/15/2014,1,BGS,31,34,NA,NA,N,153,2.44,NA
47.0L,Slope,Mitigated,1/15/2014,1,BGS,38,41,NA,NA,N,153,2.44,NA
47.0L,Slope,Mitigated,1/15/2014,1,BGS,44,46,NA,NA,N,153,2.44,NA
47.0L,Slope,Mitigated,1/15/2014,1,BGS,48,51,NA,NA,N,153,2.44,NA
