No,Fish,Length,Depart,DLocation,DLocationGen,Arrive,ALocation,ALocationGen,Dist_km,DeltaTime,DeltaTimeMin,Distperhour,Distperday,Activity,,1,Dist_referenceA,Dist_referenceB,Helper1,Helper2,Dist.KM,
75,7,41,7/12/13 4:56 AM,BayBr07.1,BayBridge,7/13/13 3:52 AM,GG1,GoldenGate,11.87,22:55,1376,0.52,12.42,Migrate,,76,CarBr03,SP_Petaluma_G3,CarBr03 SP_Petaluma_G3,SP_Petaluma_G3 CarBr03,18.06,
76,12,46,2/28/13 10:05 PM,Santa_Clara_Shoals2_south,SJ_Santa_Clara_Shoals,3/3/13 3:37 PM,AntiochS,SJ_Antioch,skipped a station,17:32,3932,#VALUE!,#VALUE!,,,77,SP_Petaluma_G3,RichBr_3_2009,SP_Petaluma_G3 RichBr_3_2009,RichBr_3_2009 SP_Petaluma_G3,14.37,
77,12,46,3/3/13 11:26 PM,AntiochS,SJ_Antioch,4/1/13 7:39 AM,Decker_IsSW,Decker_IsS,10.97,8:12,40813,0.02,0.39,Delta,,78,RichBr_1_2009,GG5.1,RichBr_1_2009 GG5.1,GG5.1 RichBr_1_2009,16.48,
78,12,46,4/13/13 5:41 AM,Decker_IsSW,Decker_IsS,4/19/13 3:49 PM,BenBr04,BeniciaBridge,33.76,10:07,9247,0.22,5.26,Delta,,79,GG5.1,BayBr10,GG5.1 BayBr10,BayBr10 GG5.1,16.63,
79,12,46,4/20/13 2:17 PM,BenBr03,BeniciaBridge,4/21/13 4:02 AM,Carq_West,Carquinez Bridge,9.56,13:45,826,0.69,16.67,Delta,,80,BayBr10,RichBr_26_2009,BayBr10 RichBr_26_2009,RichBr_26_2009 BayBr10,17.83,
80,12,46,4/21/13 7:55 PM,CarBr02,Carquinez Bridge,4/21/13 10:11 PM,BenBr05,BeniciaBridge,10.06,2:16,136,4.42,106.15,Delta,,81,SJ_BlwFalse_SE,AntiochBridge20,SJ_BlwFalse_SE AntiochBridge20,AntiochBridge20 SJ_BlwFalse_SE,5.79,
81,12,46,4/25/13 6:54 AM,BenBr03,BeniciaBridge,4/25/13 6:32 PM,CarBr01,Carquinez Bridge,9.75,11:37,698,0.84,20.12,Delta,,82,AntiochBridge15,BenBr05,AntiochBridge15 BenBr05,BenBr05 AntiochBridge15,36.44,
82,12,46,4/25/13 6:33 PM,CarBr01,Carquinez Bridge,5/5/13 2:24 PM,SP_Petaluma_G3,SP_Petaluma_Channel,17.84,19:50,14151,0.08,1.82,Migrate,,83,BenBr02,Carq_West,BenBr02 Carq_West,Carq_West BenBr02,9.52,
83,12,46,5/7/13 11:25 AM,SP_Petaluma_G3,SP_Petaluma_Channel,5/11/13 8:06 AM,RichBr_20_2009,RichmondBridge,13.62,20:41,5561,0.15,3.53,Migrate,,84,CarBr04,RichBr_13_2009,CarBr04 RichBr_13_2009,RichBr_13_2009 CarBr04,25.74,
84,12,46,5/17/13 9:05 PM,RichBr_23_2009,RichmondBridge,5/20/13 8:11 PM,BayBr03.5,BayBridge,17.46,23:06,4266,0.25,5.89,Migrate,,85,RichBr_9_2009,GG9,RichBr_9_2009 GG9,GG9 RichBr_9_2009,15,
